ZONE_N,ZONE_C,SUBZONE_N,SUB_ZONE_C,AGE0-4,AGE5-9,AGE10-14,AGE15-19,AGE20-24,AGE25-29,AGE30-34,AGE35-39,AGE40-44,AGE45-49,AGE50-54,AGE55-59,AGE60-64,AGE65-69,AGE70-74,AGE75-79,AGE80-84,AGE85
MUSEUM,MU,BRAS BASAH,MUSZ03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUSEUM,MU,DHOBY GHAUT,MUSZ01,10,10,0,0,0,10,20,40,30,20,20,10,10,10,0,0,0,0
MUSEUM,MU,FORT CANNING,MUSZ02,10,10,10,10,10,10,10,10,30,20,20,10,10,0,10,0,0,0
NEWTON,NT,CAIRNHILL,NTSZ04,180,250,180,150,180,190,200,290,360,360,280,240,180,210,100,70,60,60
NEWTON,NT,GOODWOOD PARK,NTSZ02,60,100,80,50,50,50,40,100,130,100,90,50,60,40,20,10,10,30
NEWTON,NT,ISTANA NEGARA,NTSZ06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWTON,NT,MONK'S HILL,NTSZ05,30,60,50,50,60,50,40,60,100,100,80,60,50,40,30,40,10,20
NEWTON,NT,NEWTON CIRCUS,NTSZ03,20,20,10,10,10,10,10,30,20,30,20,20,10,10,10,0,0,10
NEWTON,NT,ORANGE GROVE,NTSZ01,60,90,70,50,70,80,60,110,140,140,150,120,120,110,70,40,20,20
NORTHEASTERN ISLANDS,NE,NORTHEASTERN ISLANDS,NESZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOVENA,NV,BALESTIER,NVSZ01,1330,1520,1510,1500,1720,2160,2080,2460,2840,2650,2540,2360,2120,1820,1300,1130,730,700
NOVENA,NV,DUNEARN,NVSZ04,130,220,240,270,270,220,170,200,280,330,340,280,250,240,170,120,90,100
NOVENA,NV,MALCOLM,NVSZ03,110,200,190,160,140,150,110,140,260,220,210,210,160,160,100,70,50,70
NOVENA,NV,MOULMEIN,NVSZ02,560,830,530,440,380,430,500,870,1060,810,650,480,410,320,210,170,120,100
NOVENA,NV,MOUNT PLEASANT,NVSZ05,20,30,30,50,50,50,40,40,20,40,70,60,50,40,30,10,20,10
ORCHARD,OR,BOULEVARD,ORSZ02,20,30,10,20,10,30,30,30,40,40,40,30,40,30,20,10,10,10
ORCHARD,OR,SOMERSET,ORSZ03,10,10,0,10,0,0,10,10,10,10,10,10,10,0,10,0,0,0
ORCHARD,OR,TANGLIN,ORSZ01,20,30,20,20,20,20,20,30,30,40,40,40,20,30,20,10,0,10
OUTRAM,OT,CHINA SQUARE,OTSZ04,40,30,30,40,70,80,100,90,110,100,110,130,160,160,100,90,40,40
OUTRAM,OT,CHINATOWN,OTSZ03,700,740,430,340,390,630,730,1270,1170,800,740,710,630,660,430,370,260,320
OUTRAM,OT,PEARL'S HILL,OTSZ01,260,260,260,260,290,430,380,370,430,490,630,710,760,690,480,460,230,300
OUTRAM,OT,PEOPLE'S PARK,OTSZ02,10,0,0,10,10,30,40,30,30,40,20,20,20,20,10,10,10,10
PASIR RIS,PR,FLORA DRIVE,PRSZ08,630,740,880,1010,1080,950,820,1100,1340,1270,1310,1100,850,540,330,260,160,170
PASIR RIS,PR,LOYANG EAST,PRSZ07,60,70,120,150,190,170,100,110,140,170,170,220,190,120,70,40,30,30
PASIR RIS,PR,LOYANG WEST,PRSZ06,0,0,0,0,0,0,0,0,0,0,10,0,10,20,20,30,40,70
PASIR RIS,PR,PASIR RIS CENTRAL,PRSZ03,1600,1410,1490,2000,2540,2370,2180,1980,1980,2160,2740,2360,1540,950,540,390,260,190
PASIR RIS,PR,PASIR RIS DRIVE,PRSZ05,1800,2450,3060,4470,6080,4950,2740,3110,3490,4200,6070,5190,3700,2510,1240,870,540,490
PASIR RIS,PR,PASIR RIS PARK,PRSZ04,440,550,440,460,370,350,490,790,790,640,570,310,190,120,80,50,20,20
PASIR RIS,PR,PASIR RIS WAFER FAB PARK,PRSZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PASIR RIS,PR,PASIR RIS WEST,PRSZ02,1320,1750,2190,3080,3720,2440,1840,2170,2640,3260,3940,2790,1840,1130,600,480,320,250
PAYA LEBAR,PL,AIRPORT ROAD,PLSZ04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAYA LEBAR,PL,PAYA LEBAR EAST,PLSZ02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAYA LEBAR,PL,PAYA LEBAR NORTH,PLSZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAYA LEBAR,PL,PAYA LEBAR WEST,PLSZ03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAYA LEBAR,PL,PLAB,PLSZ05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIONEER,PN,BENOI SECTOR,PNSZ03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIONEER,PN,GUL BASIN,PNSZ04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIONEER,PN,GUL CIRCLE,PNSZ02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIONEER,PN,JOO KOON,PNSZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIONEER,PN,PIONEER SECTOR,PNSZ05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNGGOL,PG,CONEY ISLAND,PGSZ07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNGGOL,PG,MATILDA,PGSZ03,5630,3740,2100,1600,1330,2230,6590,5970,3890,2400,1830,1500,1300,1110,590,370,190,140
PUNGGOL,PG,NORTHSHORE,PGSZ01,10,10,20,20,30,20,10,10,30,20,40,20,20,10,10,10,0,10
PUNGGOL,PG,PUNGGOL CANAL,PGSZ06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNGGOL,PG,PUNGGOL FIELD,PGSZ04,3020,3970,3830,3000,2250,2450,3230,4880,5720,4190,3170,2650,2180,1640,950,640,360,300
PUNGGOL,PG,PUNGGOL TOWN CENTRE,PGSZ02,2200,1270,590,410,330,1090,2780,2250,1070,700,530,350,350,290,140,110,60,50
PUNGGOL,PG,WATERWAY EAST,PGSZ05,5120,3550,2220,1490,1240,2570,6090,5550,3720,2290,1880,1430,1260,1100,600,400,200,160
QUEENSTOWN,QT,COMMONWEALTH,QTSZ03,260,260,300,330,330,530,450,530,580,580,660,590,550,500,340,390,300,230
QUEENSTOWN,QT,DOVER,QTSZ10,470,680,650,630,660,710,620,920,1000,970,920,830,670,690,480,410,240,180
QUEENSTOWN,QT,GHIM MOH,QTSZ01,520,520,490,540,620,700,810,820,840,850,830,740,720,810,660,600,400,270
QUEENSTOWN,QT,HOLLAND DRIVE,QTSZ02,460,420,460,560,600,850,810,960,1110,1090,1010,960,920,990,760,790,470,370
QUEENSTOWN,QT,KENT RIDGE,QTSZ12,20,40,60,40,50,80,70,60,80,80,90,70,70,70,40,20,10,10
QUEENSTOWN,QT,MARGARET DRIVE,QTSZ05,1360,900,570,540,530,780,1710,1690,1240,900,830,710,700,680,410,370,240,170
QUEENSTOWN,QT,MEI CHIN,QTSZ06,540,650,760,900,1020,1100,970,980,1150,1270,1410,1310,1210,910,590,680,420,390
QUEENSTOWN,QT,NATIONAL UNIVERSITY OF S'PORE,QTSZ11,10,10,10,10,60,50,10,10,20,10,10,10,10,0,0,0,0,0
QUEENSTOWN,QT,ONE NORTH,QTSZ08,40,40,30,20,30,30,40,70,90,80,50,30,20,20,10,0,0,0
QUEENSTOWN,QT,PASIR PANJANG 1,QTSZ13,200,210,220,240,250,320,290,370,400,370,340,290,260,210,130,80,40,40
QUEENSTOWN,QT,PASIR PANJANG 2,QTSZ14,120,130,150,200,250,250,210,220,240,240,280,260,320,230,110,70,30,30
QUEENSTOWN,QT,PORT,QTSZ15,0,0,0,10,10,10,10,10,0,10,10,20,10,10,10,0,0,0
QUEENSTOWN,QT,QUEENSWAY,QTSZ07,10,0,10,20,20,20,20,20,30,30,30,10,20,20,10,10,0,0
QUEENSTOWN,QT,SINGAPORE POLYTECHNIC,QTSZ09,10,10,10,10,10,10,10,20,20,10,10,10,10,0,0,0,0,0
QUEENSTOWN,QT,TANGLIN HALT,QTSZ04,530,510,460,470,480,770,850,980,1040,940,940,860,780,820,610,560,420,340
RIVER VALLEY,RV,INSTITUTION HILL,RVSZ05,240,240,200,140,130,180,260,370,440,330,230,160,170,170,80,70,30,30
RIVER VALLEY,RV,LEONIE HILL,RVSZ03,120,160,160,140,130,150,160,270,330,340,210,180,140,110,90,30,20,30
